brand,model_year,milage,fuel_type,transmission,ext_col,int_col,accident,clean_title,price
Ford,2013,51000,E85 Flex Fuel,Automatic,Black,Black,At least 1 accident or damage reported,Yes,10300
Hyundai,2021,34742,Gasoline,Automatic,Moonlight Cloud,Gray,At least 1 accident or damage reported,Yes,38005
Lexus,2022,22372,Gasoline,Automatic,Blue,Black,None reported,No,54598
INFINITI,2015,88900,Hybrid,Automatic,Black,Black,None reported,Yes,15500
Audi,2021,9835,Gasoline,Automatic,Glacier White Metallic,Black,None reported,No,34999
Acura,2016,136397,Gasoline,Other,Silver,Ebony.,None reported,No,14798
Audi,2017,84000,Gasoline,Automatic,Blue,Black,None reported,Yes,31000
BMW,2001,242000,Gasoline,Automatic,Green,Green,None reported,Yes,7300
Lexus,2021,23436,Gasoline,Automatic,Black,Black,None reported,Yes,41927
Tesla,2020,34000,Electric,Automatic,Black,Black,None reported,Yes,69950
Land,2021,27608,Gasoline,Automatic,Fuji White,Pimento / Ebony,None reported,No,73897
Aston,2019,22770,Gasoline,Automatic,Silver,Black,None reported,Yes,184606
Toyota,2021,12500,Gasoline,Automatic,Yellow,Black,None reported,Yes,53500
Lincoln,2022,18196,Gasoline,Other,Black,Brown,None reported,Yes,62000
Jaguar,2020,15903,Gasoline,Automatic,Silver,Black,None reported,No,47998
Land,2013,79800,Gasoline,Automatic,White,Black,None reported,Yes,29990
Mercedes-Benz,2021,1685,Gasoline,Automatic,Gray,White,None reported,Yes,250000
Dodge,2013,61074,Gasoline,Automatic,Black,Gray,None reported,Yes,16800
Nissan,2003,74000,Gasoline,Manual,Purple,–,None reported,Yes,11000
Jaguar,2018,35250,Gasoline,Automatic,Green,Black,None reported,Yes,68750
Genesis,2023,5400,Gasoline,Automatic,Green,Beige,None reported,No,60000
Chevrolet,2000,133510,E85 Flex Fuel,Automatic,Blue,Black,None reported,Yes,4500
BMW,2020,25990,Gasoline,Automatic,White,Beige,None reported,No,38598
Ford,2023,2823,Gasoline,Automatic,Iconic Silver Metallic,Black,None reported,Yes,58504
Chevrolet,2021,52000,Gasoline,Automatic,Blue,Black,None reported,Yes,61000
Hyundai,2022,11650,Gasoline,Other,Black,Black,None reported,Yes,32300
Nissan,2016,96541,Gasoline,Automatic,Blue,Black,None reported,No,13998
Mercedes-Benz,2021,17500,Gasoline,Automatic,Gray,Black,None reported,Yes,59995
BMW,2015,69000,Gasoline,Automatic,Gray,Black,None reported,Yes,25700
Audi,2017,81880,E85 Flex Fuel,Automatic,Mythos Black Metallic,Black,None reported,Yes,21375
Mercedes-Benz,2018,28800,Gasoline,Automatic,Silver,Black,None reported,Yes,48000
Dodge,2006,300183,Gasoline,Automatic,Silver,Gray,At least 1 accident or damage reported,Yes,10900
BMW,2020,35035,Hybrid,Automatic,Black,Black,None reported,No,24998
Kia,2011,171000,Gasoline,Automatic,Black,Black,None reported,Yes,5999
Lexus,2016,118700,Gasoline,Automatic,Black,Beige,None reported,Yes,46900
Jeep,2017,119000,Gasoline,Automatic,Red,Black,None reported,Yes,15900
BMW,2018,44261,Gasoline,Automatic,Gray,Black,None reported,No,33598
Audi,2012,125575,Gasoline,Automatic,Silver,Black,None reported,Yes,8999
Hyundai,2007,16200,Gasoline,Automatic,Gold,Beige,None reported,Yes,8200
BMW,2014,70000,Gasoline,Automatic,White,Beige,At least 1 accident or damage reported,Yes,20000
Bentley,2011,20200,E85 Flex Fuel,Automatic,Black,Black,None reported,Yes,79950
Honda,2023,2978,Gasoline,Automatic,Lunar Silver Metallic,Gray,None reported,No,45498
